film_title,note,year
Les Évadés,"
9.2
",1994
Le Parrain,"
9.2
",1972
The Dark Knight : Le Chevalier noir,"
9.0
",2008
"Le Parrain, 2ᵉ partie","
9.0
",1974
12 Hommes en colère,"
9.0
",1957
La liste de Schindler,"
8.9
",1993
Le Seigneur des anneaux : Le Retour du roi,"
8.9
",2003
Pulp Fiction,"
8.8
",1994
Le Seigneur des anneaux : La Communauté de l'anneau,"
8.8
",2001
" Le Bon, la brute, le truand","
8.8
",1966
Forrest Gump,"
8.8
",1994
Fight Club,"
8.7
",1999
Le Seigneur des anneaux : Les Deux Tours,"
8.7
",2002
Inception,"
8.7
",2010
L'Empire contre-attaque,"
8.7
",1980
Matrix,"
8.7
",1999
Les affranchis,"
8.7
",1990
Vol au-dessus d'un nid de coucou,"
8.6
",1975
Seven,"
8.6
",1995
Les 7 Samouraïs,"
8.6
",1954
La vie est belle,"
8.6
",1946
Le Silence des agneaux,"
8.6
",1991
La cité de Dieu,"
8.6
",2002
Il faut sauver le soldat Ryan,"
8.6
",1998
Interstellar,"
8.6
",2014
La vie est belle,"
8.6
",1997
La ligne verte,"
8.6
",1999
La guerre des étoiles,"
8.5
",1977
Terminator 2 : Le jugement dernier,"
8.5
",1991
Retour vers le futur,"
8.5
",1985
Le voyage de Chihiro,"
8.5
",2001
Le pianiste,"
8.5
",2002
Psychose,"
8.5
",1960
Parasite,"
8.5
",2019
Léon,"
8.5
",1994
Le Roi Lion,"
8.5
",1994
Gladiator,"
8.5
",2000
American History X,"
8.5
",1998
Les infiltrés,"
8.5
",2006
Usual Suspects,"
8.5
",1995
Le Prestige,"
8.5
",2006
Whiplash,"
8.5
",2014
Casablanca,"
8.5
",1942
Le tombeau des lucioles,"
8.5
",1988
Harakiri,"
8.5
",1962
Intouchables,"
8.5
",2011
Les temps modernes,"
8.4
",1936
Il était une fois dans l'Ouest,"
8.4
",1968
Fenêtre sur cour,"
8.4
",1954
Cinéma Paradiso,"
8.4
",1988
Alien - Le 8ème passager,"
8.4
",1979
Les lumières de la ville,"
8.4
",1931
Apocalypse Now,"
8.4
",1979
Memento,"
8.4
",2000
Django Unchained,"
8.4
",2012
Les Aventuriers de l'arche perdue,"
8.4
",1981
WALL·E,"
8.4
",2008
La vie des autres,"
8.4
",2006
Boulevard du Crépuscule,"
8.4
",1950
Les sentiers de la gloire,"
8.4
",1957
Shining,"
8.4
",1980
Le dictateur,"
8.4
",1940
Avengers: Infinity War,"
8.4
",2018
Témoin à charge,"
8.4
",1957
Aliens : Le Retour,"
8.3
",1986
Spider-Man: New Generation,"
8.3
",2018
American Beauty,"
8.3
",1999
Dr Folamour ou : Comment j'ai appris à ne plus m'en faire et à aimer la bombe !,"
8.3
",1964
The Dark Knight Rises,"
8.3
",2012
Old Boy,"
8.3
",2003
Inglourious Basterds,"
8.3
",2009
Amadeus,"
8.3
",1984
Coco,"
8.3
",2017
Toy Story,"
8.3
",1995
Joker,"
8.3
",2019
Braveheart,"
8.3
",1995
Le Bateau,"
8.3
",1981
Avengers: Endgame,"
8.3
",2019
Princesse Mononoké,"
8.3
",1997
Il était une fois en Amérique,"
8.3
",1984
Will Hunting,"
8.3
",1997
Your Name,"
8.3
",2016
3 Idiots,"
8.3
",2009
Chantons sous la pluie,"
8.3
",1952
Requiem for a Dream,"
8.3
",2000
Toy Story 3,"
8.3
",2010
Entre le ciel et l'enfer,"
8.3
",1963
Capharnaüm,"
8.3
",2018
Le Retour du Jedi,"
8.3
",1983
Eternal Sunshine of the Spotless Mind,"
8.3
",2004
2001 : L'Odyssée de l'espace,"
8.3
",1968
Reservoir Dogs,"
8.3
",1992
Requiem pour un massacre - Va et regarde,"
8.3
",1985
La chasse,"
8.3
",2012
Citizen Kane,"
8.3
",1941
M le maudit,"
8.3
",1931
Lawrence d'Arabie,"
8.3
",1962
La mort aux trousses,"
8.2
",1959
Sueurs froides,"
8.2
",1958
 Le fabuleux destin d'Amélie Poulain,"
8.2
",2001
Vivre,"
8.2
",1952
La garçonnière,"
8.2
",1960
Orange mécanique,"
8.2
",1971
Top Gun: Maverick,"
8.2
",2022
Assurance sur la mort,"
8.2
",1944
Full Metal Jacket,"
8.2
",1987
Scarface,"
8.2
",1983
Hamilton,"
8.2
",2020
Incendies,"
8.2
",2010
Du silence et des ombres,"
8.2
",1962
L'Arnaque,"
8.2
",1973
Heat,"
8.2
",1995
Là-haut,"
8.2
",2009
Une séparation,"
8.2
",2011
Taxi Driver,"
8.2
",1976
Metropolis,"
8.2
",1927
LA Confidential,"
8.2
",1997
Piège de cristal,"
8.2
",1988
Snatch - Tu braques ou tu raques,"
8.2
",2000
Indiana Jones et la dernière croisade,"
8.2
",1989
Voleur de bicyclette,"
8.2
",1948
Taare Zameen Par,"
8.2
",2007
1917,"
8.2
",2019
La chute,"
8.2
",2004
Dangal,"
8.2
",2016
et pour quelques dollars de plus,"
8.2
",1965
Batman Begins,"
8.2
",2005
Le Kid,"
8.2
",1921
Certains l'aiment chaud,"
8.2
",1959
The Father,"
8.2
",2020
Ève,"
8.2
",1950
Green Book: Sur les routes du sud,"
8.2
",2018
Le loup de Wall Street,"
8.2
",2013
Jugement à Nuremberg,"
8.2
",1961
Casino,"
8.2
",1995
Ran,"
8.2
",1985
Le labyrinthe de Pan,"
8.2
",2006
The Truman Show,"
8.2
",1998
There Will Be Blood,"
8.2
",2007
Impitoyable,"
8.2
",1992
Sixième sens,"
8.2
",1999
Shutter Island,"
8.2
",2010
Un homme d'exception,"
8.2
",2001
Jurassic Park,"
8.1
",1993
Le garde du corps,"
8.1
",1961
Le Trésor de la Sierra Madre,"
8.1
",1948
Monty Python : Sacré Graal !,"
8.1
",1975
La Grande Évasion,"
8.1
",1963
Spider-Man: No Way Home,"
8.1
",2021
No Country for Old Men,"
8.1
",2007
Kill Bill: Volume I,"
8.1
",2003
Rashomon,"
8.1
",1950
The Thing,"
8.1
",1982
Le Monde de Nemo,"
8.1
",2003
Elephant Man,"
8.1
",1980
Chinatown,"
8.1
",1974
Raging Bull,"
8.1
",1980
V pour vendetta,"
8.1
",2005
Autant en emporte le vent,"
8.1
",1939
"Arnaques, crimes et botanique","
8.1
",1998
Vice-versa,"
8.1
",2015
Le crime était presque parfait,"
8.1
",1954
Dans ses yeux,"
8.1
",2009
Le château ambulant,"
8.1
",2004
3 Billboards: Les panneaux de la vengeance,"
8.1
",2017
Le pont de la rivière Kwaï,"
8.1
",1957
Trainspotting,"
8.1
",1996
Prisoners,"
8.1
",2013
Warrior,"
8.1
",2011
Fargo,"
8.1
",1996
Gran Torino,"
8.1
",2008
Mon voisin Totoro,"
8.1
",1988
Arrête-moi si tu peux,"
8.1
",2002
Million Dollar Baby,"
8.1
",2004
Les enfants du ciel,"
8.1
",1997
Blade Runner,"
8.1
",1982
La ruée vers l'or,"
8.1
",1925
Before Sunrise,"
8.1
",1995
12 Years a Slave,"
8.1
",2013
La légende de Klaus,"
8.1
",2019
Harry Potter et les Reliques de la Mort : partie 2,"
8.1
",2011
Sur les quais,"
8.1
",1954
Ben-Hur,"
8.1
",1959
Gone Girl,"
8.1
",2014
The Grand Budapest hotel,"
8.1
",2014
Les fraises sauvages,"
8.1
",1957
Le mécano de la Générale,"
8.1
",1926
Le troisième homme,"
8.1
",1949
Au nom du père,"
8.1
",1993
Voyage au bout de l'enfer,"
8.1
",1978
Barry Lyndon,"
8.1
",1975
Tu ne tueras point,"
8.1
",2016
Le salaire de la peur,"
8.1
",1953
Memories of Murder,"
8.1
",2003
Sherlock Junior,"
8.1
",1924
Les Nouveaux Sauvages,"
8.1
",2014
Mr Smith au sénat,"
8.1
",1939
Mad Max: Fury Road,"
8.1
",2015
Le septième sceau,"
8.1
",1957
Mary et Max,"
8.1
",2009
Dragons,"
8.1
",2010
Room,"
8.1
",2015
Monstres & Cie,"
8.1
",2001
Les Dents de la mer,"
8.1
",1975
The Big Lebowski,"
8.1
",1998
Le Cercle des poètes disparus,"
8.1
",1989
Voyage à Tokyo,"
8.1
",1953
La passion de Jeanne d'Arc,"
8.1
",1928
Hôtel Rwanda,"
8.0
",2004
Le Mans '66,"
8.0
",2019
Rocky,"
8.0
",1976
Platoon,"
8.0
",1986
Ratatouille,"
8.0
",2007
Spotlight,"
8.0
",2015
Terminator,"
8.0
",1984
Logan,"
8.0
",2017
Stand by Me : Compte sur moi,"
8.0
",1986
Rush,"
8.0
",2013
Network - Main basse sur la TV,"
8.0
",1976
Into the Wild,"
8.0
",2007
Before Sunset,"
8.0
",2004
Le magicien d'Oz,"
8.0
",1939
La complainte du sentier,"
8.0
",1955
Un jour sans fin,"
8.0
",1993
Les Plus Belles Années de notre vie,"
8.0
",1946
L'Exorciste,"
8.0
",1973
Les Indestructibles,"
8.0
",2004
Jeu dangereux,"
8.0
",1942
La haine,"
8.0
",1995
La bataille d'Alger,"
8.0
",1966
Pirates des Caraïbes : La malédiction du Black Pearl,"
8.0
",2003
Hatchi,"
8.0
",2009
Jai Bhim,"
8.0
",2021
Les raisins de la colère,"
8.0
",1940
Mon père et mon fils,"
8.0
",2005
Amours chiennes,"
8.0
",2000
Rebecca,"
8.0
",1940
Luke la main froide,"
8.0
",1967
Mademoiselle,"
8.0
",2016
Les Quatre Cents Coups,"
8.0
",1959
La mélodie du bonheur,"
8.0
",1965
New York - Miami,"
8.0
",1934
Persona,"
8.0
",1966
Monty Python : La Vie de Brian,"
8.0
",1979
Le géant de fer,"
8.0
",1999
La couleur des sentiments,"
8.0
",2011
Aladdin,"
8.0
",1992
Dersou Ouzala,"
8.0
",1975
Gandhi,"
8.0
",1982
Danse avec les loups,"
8.0
",1990
